Code,Nom,DCI,Marque,Categorie,Rayon,Prix Vente,Prix Achat,Rx,Quantite,Date de preremption
1700035,FAIR & WHITE SERUM EXCLUSIVE WHITENIZER,,FAIR & WHITE SERUM EXCLUSIVE WHITENIZER,PARAPHARMA,PARAPHARMA,85000,0,Non,0,44196
3645483,FAIR &WHITE LAIT AHA-2,,FAIR &WHITE LAIT AHA-2,PARAPHARMA,PARAPHARMA,75000,0,Non,0,43862
3645476,FAIR &WHITE LAIT BODY,,FAIR &WHITE LAIT BODY,PARAPHARMA,PARAPHARMA,75000,0,Non,0,43862
1700063,FAIR ET WHITE DEO,,FAIR ET WHITE DEO,PARAPHARMA,PARAPHARMA,25000,0,Non,0,41059
8998457,FAKTZ FOR MEN,,FAKTZ FOR MEN,PARAPHARMA,PARAPHARMA,205000,0,Non,0,43831
9500424,FIERTE 1804 LAIT,,FIERTE 1804 LAIT,PARAPHARMA,PARAPHARMA,75000,0,Non,0,43831
6000866,FIXODENT,,FIXODENT,PARAPHARMA,PARAPHARMA,105000,0,Non,0,43831
4861310,FLUOCARIL BAIN DE BOUCHE 300 ML,,FLUOCARIL BAIN DE BOUCHE 300 ML,PARAPHARMA,PARAPHARMA,60000,41590,Non,0,46296
4860139,FLUOCARIL BLANCHEUR T/145MG,,FLUOCARIL BLANCHEUR T/145MG,PARAPHARMA,PARAPHARMA,50000,24975,Non,0,46539
3500861,FLUOCARIL PATE ENFANT 2-5 ANS,,FLUOCARIL PATE ENFANT 2-5 ANS,PARAPHARMA,PARAPHARMA,35000,22500,Non,0,45658
FLUO002,FLUOCARIL PATE ENFANT 6-12 ANS,,FLUOCARIL PATE ENFANT 6-12 ANS,PARAPHARMA,PARAPHARMA,40000,27500,Non,0,45992
4860054,FLUOCARIL SPRAY,,FLUOCARIL SPRAY,PARAPHARMA,PARAPHARMA,83850,1000,Non,0,40940
FORTI22541,FORTILAC,,FORTILAC,PARAPHARMA,PARAPHARMA,40000,0,Non,12,46844
9000204,FOUCAUD LAIT,,FOUCAUD LAIT,PARAPHARMA,PARAPHARMA,60000,0,Non,0,43831
FRN000001,FRANCE LAIT BLE MIEL,,FRANCE LAIT BLE MIEL,PARAPHARMA,PARAPHARMA,38000,27000,Non,0,46388
franc0001,FRANCE LAIT RIZ FRUITS,,FRANCE LAIT RIZ FRUITS,PARAPHARMA,PARAPHARMA,38000,27000,Non,0,46419
FRAN0001,FRANCE LAIT RIZ MIEL,,FRANCE LAIT RIZ MIEL,PARAPHARMA,PARAPHARMA,38000,27000,Non,0,46419
FREE002,FREEDENT SHEWGUM,,FREEDENT SHEWGUM,PARAPHARMA,PARAPHARMA,10000,0,Non,0,43678
FR0052,FREESENS CREME MAIN,,FREESENS CREME MAIN,PARAPHARMA,PARAPHARMA,60000,0,Non,6,47484
FREE458,FREESENS CREME MAIN+LIPS,,FREESENS CREME MAIN+LIPS,PARAPHARMA,PARAPHARMA,100000,0,Non,6,47484
gall00002,GALLIA CALISMA RELAIS N°2,,GALLIA CALISMA RELAIS N°2,PARAPHARMA,PARAPHARMA,300000,200000,Non,9,46508
gall000001,GALLIA CALLISMA RELAIS N°1,,GALLIA CALLISMA RELAIS N°1,PARAPHARMA,PARAPHARMA,300000,200000,Non,9,46388
GALL10000,GALLIA GALLIAGEST N°2,,GALLIA GALLIAGEST N°2,PARAPHARMA,PARAPHARMA,300000,214000,Non,4,46388
GALL0004,GALLIA GALLIAGEST N°3,,GALLIA GALLIAGEST N°3,PARAPHARMA,PARAPHARMA,200000,140000,Non,1,46388
9350486,GARNIEA AHA + BHA SERUM,,GARNIEA AHA + BHA SERUM,PARAPHARMA,PARAPHARMA,130000,20000,Non,0,47484
GARN001,GARNIER INTENSIVE LAIT,,GARNIER INTENSIVE LAIT,PARAPHARMA,PARAPHARMA,40000,0,Non,0,44105
6300019,GEL DOUCHE PETIT MARSEILLE,,GEL DOUCHE PETIT MARSEILLE,PARAPHARMA,PARAPHARMA,70000,40000,Non,0,45870
GELH004,GEL HYDRO-ALCOOLIQUE,,GEL HYDRO-ALCOOLIQUE,PARAPHARMA,PARAPHARMA,20000,0,Non,0,46631
GENS014,GENSKIN ECLAT LAIT,,GENSKIN ECLAT LAIT,PARAPHARMA,PARAPHARMA,67000,45500,Non,0,45536
961202,GILLETTE MOUSSE A RASER,,GILLETTE MOUSSE A RASER,PARAPHARMA,PARAPHARMA,80000,0,Non,1,46784
9778,GILLETTE POWER,,GILLETTE POWER,PARAPHARMA,PARAPHARMA,30000,0,Non,0,43831
